,title,price,city,datetime,nb_rooms,nb_baths,surface_area,equipement,link
514,Appartement à vendre 64 m² à Casablanca,440 000 DH,Casablanca,"10/29/2024, 10:51:45 AM",2,1,,,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Casablanca_55712402.htm
515,Appartement à vendre 189 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/29/2024, 10:50:07 AM",,,,,https://www.avito.ma/fr/bournazil/appartements/Appartement_%C3%A0_vendre_189_m%C2%B2_%C3%A0_Casablanca_55712389.htm
516,Appartement à vendre 100 m² à Casablanca,1 150 000 DH,Urgent,,2,2,100,"Ascenseur, Balcon, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/al_qods/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Casablanca_55683909.htm
517,Appartement à vendre 118 m² à Casablanca,1 850 000 DH,Casablanca,"10/29/2024, 10:20:15 AM",3,2,,,https://www.avito.ma/fr/les_princesses/appartements/Appartement_%C3%A0_vendre_118_m%C2%B2_%C3%A0_Casablanca_55712190.htm
518,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j0x?utm_source=avito_integration&utm_medium=listing_integration
519,Appartement à vendre 76 m² à Casablanca,760 000 DH,Casablanca,"10/29/2024, 9:55:10 AM",2,2,,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Casablanca_55712054.htm
520,Appartement à vendre 75 m² à Casablanca,820 000 DH,Casablanca,"10/29/2024, 9:15:20 AM",2,1,75,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_75_m%C2%B2_%C3%A0_Casablanca_55711854.htm
521,Appartement à vendre 149 m² à Casablanca,1 550 000 DH,Casablanca,"10/29/2024, 8:53:24 AM",3,2,149,"Ascenseur, Balcon, Concierge, Parking",https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_149_m%C2%B2_%C3%A0_Casablanca_55711789.htm
522,Appartement à vendre 70 m² à Casablanca,700 000 DH,Casablanca,"10/29/2024, 8:28:05 AM",2,2,70,"Ascenseur, Balcon, Concierge, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/al_qods/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Casablanca_55711678.htm
523,,,,,,,,,https://immoneuf.avito.ma/fr/unite/j8l?utm_source=avito_integration&utm_medium=listing_integration
524,Appartement à vendre 53 m² à Casablanca,300 000 DH,Casablanca,"10/28/2024, 10:32:02 PM",2,1,53,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_53_m%C2%B2_%C3%A0_Casablanca_55711230.htm
525,Appartement 75 m² à Casablanca,550 000 DH,Casablanca,"10/28/2024, 10:29:52 PM",3,1,75,,https://www.avito.ma/fr/oulfa/appartements/Appartement_75_m%C2%B2_%C3%A0_Casablanca_55711207.htm
526,Appartement à vendre 56 m² à Casablanca,520 000 DH,Casablanca,"10/28/2024, 10:28:38 PM",2,1,56,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Casablanca_55711201.htm
527,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jXi?utm_source=avito_integration&utm_medium=listing_integration
528,Appartement à vendre 54 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/28/2024, 10:28:38 PM",,,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Casablanca_55711196.htm
529,Appartement à vendre 50 m² à Casablanca,300 000 DH,Casablanca,"10/28/2024, 10:05:46 PM",2,1,50,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55711154.htm
530,Appartement à vendre au rdc à Casablanca Oulfa,400 000 DH,Casablanca,"10/28/2024, 9:49:20 PM",1,1,,,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_au_rdc_%C3%A0_Casablanca_Oulfa_55711118.htm
531,Appartement à vendre 95 m² à Casablanca,1 500 000 DH,Casablanca,"10/28/2024, 9:35:02 PM",2,2,95,"Ascenseur, Balcon, Chauffage, Climatisation, Concierge, Cuisine Équipée, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/oasis/appartements/Appartement_%C3%A0_vendre_95_m%C2%B2_%C3%A0_Casablanca_55711056.htm
532,,,,,,,,,https://immoneuf.avito.ma/fr/unite/QgY?utm_source=avito_integration&utm_medium=listing_integration
533,Appartement à vendre 54 m² à Casablanca,320 000 DH,Casablanca,"10/28/2024, 9:02:13 PM",2,1,60,,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Casablanca_55710962.htm
534,Appartement à vendre 115 m² à Casablanca,950 000 DH,Casablanca,"10/28/2024, 4:50:24 PM",3,2,115,"Ascenseur, Balcon, Concierge, Cuisine Équipée, Parking, Sécurité",https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_115_m%C2%B2_%C3%A0_Casablanca_55709900.htm
535,Vente Appartement 4 pièces de 173 m2 à Casablanca,2 550 000 DH,Casablanca,"10/28/2024, 4:33:57 PM",3,2,173,"Balcon, Parking, Terrasse",https://www.avito.ma/fr/californie/appartements/Vente_Appartement_4_pi%C3%A8ces_de_173_m2_%C3%A0_Casablanca_55709818.htm
536,CMN-MA-1778 - Appartement à vendre à Maârif,1 330 000 DH,Casablanca,"10/28/2024, 4:04:31 PM",1,1,92,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/CMN_MA_1778___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_55709672.htm
537,,,,,,,,,https://immoneuf.avito.ma/fr/unite/P0C?utm_source=avito_integration&utm_medium=listing_integration
538,CMN-MA-1779 - Appartement à vendre à Massira Khadra,2 700 000 DH,Casablanca,"10/28/2024, 4:04:19 PM",3,2,141,"Ascenseur, Balcon, Terrasse",https://www.avito.ma/fr/anfa/appartements/CMN_MA_1779___Appartement_%C3%A0_vendre_%C3%A0_Massira_Khadra_55709671.htm
539,Appartement à vendre 54 m² à Casablanca,360 000 DH,Casablanca,"10/28/2024, 3:58:12 PM",2,1,54,Balcon,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_54_m%C2%B2_%C3%A0_Casablanca_55709639.htm
540,Appartement à vendre 80 m² à Casablanca,1 060 000 DH,Casablanca,"10/28/2024, 3:36:03 PM",2,2,80,"Ascenseur, Chauffage, Climatisation, Concierge, Cuisine Équipée, Meublé, Parking, Sécurité, Terrasse",https://www.avito.ma/fr/abdelmoumen/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Casablanca_55709516.htm
541,Appartement à vendre 72 m² à Casablanca,470 000 DH,Casablanca,"10/28/2024, 3:21:54 PM",2,1,72,,https://www.avito.ma/fr/sidi_othmane/appartements/Appartement_%C3%A0_vendre_72_m%C2%B2_%C3%A0_Casablanca_55709426.htm
542,,,,,,,,,https://immoneuf.avito.ma/fr/unite/jXB?utm_source=avito_integration&utm_medium=listing_integration
543,Appartement à vendre 70 m² à Casablanca,650 000 DH,Casablanca,"10/28/2024, 2:55:16 PM",3,1,70,,https://www.avito.ma/fr/lissasfa/appartements/Appartement_%C3%A0_vendre_70_m%C2%B2_%C3%A0_Casablanca_55672899.htm
544,Appartement à vendre 90 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/28/2024, 2:52:03 PM",,,,,https://www.avito.ma/fr/2_mars/appartements/Appartement_%C3%A0_vendre_90_m%C2%B2_%C3%A0_Casablanca_55709260.htm
545,Appartement à vendre 51 m² à Casablanca,PRIX NON SPÉCIFIÉ,Casablanca,"10/28/2024, 2:32:10 PM",,,,,https://www.avito.ma/fr/sidi_bernoussi/appartements/Appartement_%C3%A0_vendre_51_m%C2%B2_%C3%A0_Casablanca_55709175.htm
